model1,country1,model2,country2,symbol,industry,country,covariance,r_coeff,std1,std2,time
Mistral,EU,Cohere,Canada,1211.HK,auto,China,219.44790508183624,0.9715993516852723,17.335618118715626,10.423051376636305,daily
Mistral,EU,Cohere,Canada,0941.HK,comm,China,0.14436350347478913,0.8534724542186138,0.5251384906961021,0.2576819745345033,daily
Mistral,EU,Cohere,Canada,DTE.DE,comm,EU,0.02221471414898659,0.7745774225123527,0.21302809694723943,0.10770329614269003,daily
Mistral,EU,Cohere,Canada,MBGYY,auto,EU,0.15298615448480782,0.9462718533406088,0.3709021966495504,0.348711915483254,daily
Mistral,EU,Cohere,Canada,IFNNY,tech,EU,0.09156110303055803,0.9609908624637051,0.4017265123091903,0.18973665961010283,daily
Mistral,EU,Cohere,Canada,SPX,index,US,2155.825661363851,0.8968616032204932,51.103020015127754,37.62977544445356,daily
Mistral,EU,Cohere,Canada,FXI,index,China,0.333145141260734,0.9780877898423922,0.5580749227645431,0.48826222462934893,daily
Mistral,EU,Deepseek,China,AMZN,tech,US,7.170712118460258,0.9874866545551688,2.388884027265553,2.4317894645713083,daily
Mistral,EU,Deepseek,China,GM,auto,US,0.33518272723873577,0.9752489779389776,0.5019904858421886,0.5477225575051659,daily
Mistral,EU,Deepseek,China,T,comm,US,0.04166651633545152,0.8406114013808852,0.19257458646799772,0.2059126028197404,daily
Mistral,EU,Deepseek,China,BABA,tech,China,17.070813348633372,0.9922150364196484,3.3429349421109475,4.117280655966992,daily
Mistral,EU,Deepseek,China,1211.HK,auto,China,363.8182758641629,0.994940008141715,17.335618118715626,16.874785924568048,daily
Mistral,EU,Deepseek,China,0941.HK,comm,China,0.20574397071596998,0.895885574428652,0.5251384906961021,0.34985711369071965,daily
Mistral,EU,Deepseek,China,DTE.DE,comm,EU,0.03325010701402778,0.9205284919241695,0.21302809694723943,0.13564659966250456,daily
Mistral,EU,Deepseek,China,MBGYY,auto,EU,0.16857924057735085,0.9773871604762226,0.3709021966495504,0.3720215047547655,daily
Mistral,EU,Deepseek,China,IFNNY,tech,EU,0.16125121561267422,0.9957396944372753,0.4017265123091903,0.3224903099319419,daily
Mistral,EU,Deepseek,China,SPX,index,US,2507.2130531146363,0.8905750285972541,51.103020015127754,44.072140860185094,daily
Mistral,EU,Deepseek,China,FXI,index,China,0.364658108236656,0.9808987560281202,0.5580749227645431,0.5329165037789697,daily
Mistral,EU,Doubao,China,AMZN,tech,US,8.018686739723137,0.9955242023372783,2.388884027265553,2.6974061614818043,daily
Mistral,EU,Doubao,China,GM,auto,US,0.34376823507290993,0.9624711939158371,0.5019904858421886,0.5692099788303081,daily
Mistral,EU,Doubao,China,T,comm,US,0.041666516335451514,0.840611401380885,0.19257458646799772,0.2059126028197404,daily
